pig,chamber,period,experimental_unit,timestamp,phase_idx,outer_fold,observed_HP,predicted_HP__Sensor/context base,predicted_HP__+ planned feeding amount,predicted_HP__+ protocol meal timing
pig_02,B2,7,B2_p7,2026-07-09 05:30:00,3,3,34.650108910912785,34.91754587158833,34.977967481783935,33.000942357919065
pig_02,B2,7,B2_p7,2026-07-09 06:00:00,3,3,30.626478388665625,34.05384669217181,34.33004503125478,33.61727126452176
pig_02,B2,7,B2_p7,2026-07-09 06:30:00,3,3,33.57559021090026,34.97702888433424,35.15538714904436,32.03039799767872
pig_02,B2,7,B2_p7,2026-07-09 07:00:00,3,3,29.61702726044477,33.87942512350569,34.0320943755553,31.78432121563913
pig_02,B2,7,B2_p7,2026-07-09 07:30:00,3,3,40.956913240138576,42.86696550854013,43.11213890566947,41.50510403045665
pig_02,B2,7,B2_p7,2026-07-09 08:00:00,3,3,42.81124681321393,45.34112555236172,45.78671246602897,42.26097953731198
pig_02,B2,7,B2_p7,2026-07-09 09:30:00,4,3,48.00413888112747,40.17867253671089,39.96345146848388,45.527974633069405
pig_02,B2,7,B2_p7,2026-07-09 10:00:00,4,3,43.94649575877732,36.06430596200177,35.938026085981754,36.0367582076328
pig_02,B2,7,B2_p7,2026-07-09 10:30:00,4,3,41.69090818715708,33.54837498228313,33.56163276651117,33.51589702650055
pig_02,B2,7,B2_p7,2026-07-09 11:00:00,4,3,45.3602965951779,37.57615374481807,37.16075356778501,36.830308624719514
pig_02,B2,7,B2_p7,2026-07-09 11:30:00,4,3,47.44753429770044,39.29014390084685,38.87381662733439,38.04020679819105
pig_02,B2,7,B2_p7,2026-07-09 12:00:00,4,3,45.38044315162293,39.59515726727362,39.28909243518588,41.36251903098868
pig_02,B2,7,B2_p7,2026-07-09 12:30:00,4,3,43.440555665842076,39.40080987778489,38.87961535577595,39.18839051913965
pig_02,B2,7,B2_p7,2026-07-09 13:00:00,4,3,40.877378738491075,40.43795466213205,40.002137044033844,39.61228853994423
pig_02,B2,7,B2_p7,2026-07-09 13:30:00,4,3,42.38342484663775,39.481540623324804,39.192839789726364,39.06095043775777
pig_02,B2,7,B2_p7,2026-07-09 14:00:00,4,3,48.176995977553005,40.64456858891347,40.334960827097134,41.96360061318844
pig_02,B2,7,B2_p7,2026-07-09 14:30:00,4,3,35.85014428691943,33.98618099976934,33.90755896736808,34.70087568604108
pig_02,B2,7,B2_p7,2026-07-09 15:00:00,4,3,45.261852507861754,40.57211891343751,40.361644566007264,40.86332905800428
pig_02,B2,7,B2_p7,2026-07-09 15:30:00,4,3,43.81245545014592,40.90858239421592,40.74293251006445,42.88017402826145
pig_02,B2,7,B2_p7,2026-07-09 16:00:00,4,3,42.55548099276613,39.50274613687859,39.38144170144796,42.50944352432958
pig_02,B2,7,B2_p7,2026-07-09 16:30:00,4,3,31.288903320029988,31.85060467413237,31.76625774810195,30.74178681868358
pig_02,B2,7,B2_p7,2026-07-09 17:00:00,4,3,29.148418345046963,24.398980388723693,24.397586992547815,25.39704190437335
pig_02,B2,7,B2_p7,2026-07-09 17:30:00,4,3,40.21251349711686,37.72879051286932,37.44288874730824,36.40943140568725
pig_02,B2,7,B2_p7,2026-07-09 18:00:00,4,3,29.025345579928647,23.89166366823808,23.980972323564124,27.046187753241945
pig_02,B2,7,B2_p7,2026-07-09 18:30:00,4,3,28.23933122185312,25.355070935608722,25.369299142903195,27.810121698427654
pig_02,B2,7,B2_p7,2026-07-09 19:00:00,4,3,26.832544082659112,28.67472389098112,28.822565489267888,29.03608728078576
pig_02,B2,7,B2_p7,2026-07-09 19:30:00,4,3,29.791046635934464,23.69078729968891,23.770713127580088,25.101011320209594
pig_11,B2,2,B2_p2,2026-06-12 09:30:00,2,5,61.03746799413838,41.69844538295048,42.59549730710579,41.858612253760775
pig_11,B2,2,B2_p2,2026-06-12 10:00:00,2,5,53.26925364011849,38.214756822399124,39.69920600797572,38.9722114634855
pig_11,B2,2,B2_p2,2026-06-12 10:30:00,2,5,48.53653312584815,33.50731027463752,34.86920779760474,34.30683514619365
pig_11,B2,2,B2_p2,2026-06-12 11:00:00,2,5,45.203133444964664,31.5674978364422,32.38616629480309,32.804901048614525
pig_11,B2,2,B2_p2,2026-06-12 11:30:00,2,5,46.731647846403845,33.192508840690124,33.22122097407641,33.44121499441552
pig_11,B2,2,B2_p2,2026-06-12 12:00:00,2,5,47.710064603763215,31.96630491566912,32.90176899193575,33.24974374144119
pig_11,B2,2,B2_p2,2026-06-12 12:30:00,2,5,43.58420327405174,32.255939020283776,32.85438505267313,33.10708430900572
pig_11,B2,2,B2_p2,2026-06-12 13:00:00,2,5,56.40919044269047,39.54258877435734,39.17310499707842,38.623292044534
