pig,chamber,period,experimental_unit,timestamp,phase_idx,outer_fold,observed_HP,predicted_HP__Metabolic body weight,predicted_HP__Heart rate · Ridge,predicted_HP__Heart rate · LightGBM,predicted_HP__ODBA · Ridge,predicted_HP__ODBA · LightGBM,predicted_HP__Heart rate + ODBA · Ridge,predicted_HP__Heart rate + ODBA · LightGBM,predicted_HP__Main model (uncalibrated)
pig_19,B2,6,B2_p6,2026-07-03 06:00:00,2,2,31.521589567654054,38.81566129531165,33.15312897994795,31.749985332597404,36.98739618476622,37.28361339742831,32.5478065349489,29.313124004775176,32.77540050448529
pig_19,B2,6,B2_p6,2026-07-03 06:30:00,2,2,36.571714959558975,38.832548373298906,30.520743171348787,29.593742778118962,44.303604375188655,43.921427571862424,35.436762381146224,34.78623932871652,37.36232819612057
pig_19,B2,6,B2_p6,2026-07-03 07:00:00,2,2,29.797650708496896,38.84943769445489,34.14070243765291,34.33116248079161,39.100196597885116,39.87880660115715,34.89799691648155,34.32945354646971,32.91597287686581
pig_19,B2,6,B2_p6,2026-07-03 07:30:00,2,2,38.98823524973167,38.86632144180668,34.45017785361432,33.73063997957983,55.707448706830945,53.88206971707382,46.980606329290154,46.294221643715396,45.87618747898003
pig_19,B2,6,B2_p6,2026-07-03 08:00:00,2,2,45.06065114927587,38.88320587094462,37.93755253193345,37.21778028473893,52.38109993696379,45.42363328185299,47.66165575124359,40.60156951536058,43.113878349270614
pig_19,B2,6,B2_p6,2026-07-03 09:30:00,3,2,46.780110872599145,38.938059883459815,38.639315436651906,41.67083639472181,41.630720512992504,42.16220354904445,40.592685537602854,44.45064813523556,46.50341493878592
pig_19,B2,6,B2_p6,2026-07-03 10:00:00,3,2,41.703119465324484,38.95071292050798,40.099518266218794,40.685697498748034,40.485983878704545,42.72545754695053,41.05111864756411,45.21149743906344,45.736897077389614
pig_19,B2,6,B2_p6,2026-07-03 10:30:00,3,2,40.46612853063903,38.96758358830954,36.8242497444728,35.66693274311045,39.22889926971584,40.00008293181619,37.27371649544517,37.26875734842172,42.7974857946926
pig_19,B2,6,B2_p6,2026-07-03 11:00:00,3,2,31.380696728769216,38.98445182179388,34.85473556822971,33.41036389201893,38.4292307998455,40.913442208130235,34.96715618680415,35.4954404158263,41.18144148067809
pig_19,B2,6,B2_p6,2026-07-03 11:30:00,3,2,48.15318580566127,39.001317622716286,37.28372658971941,36.236211957299545,49.02580918770925,48.8079732426049,44.630333570296536,41.414679659582625,46.688506308966545
